message,re_count,user
The 12th of July Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.,76,DOT-StHimark.
The keyboard is really nothing for me to lose a couple years ago and really liked their service.,65,FleetGladwinPlate
The Tranky Doo Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.,56,DOT-StHimark
someone something the he the base material.,54,FearsMatthewDog
"So is it, anyone and something anyone looking forward to see them wanting their game with anything from it and hope for a good shot suppressor",52,SCleverGraham
Excited about the SHM/HSS collaboration.,52,FleetWillieBanana
"its gradumactaion time for bed!, gnite all!",51,CandidBowlLester
"A lot of people are leaving. But my papa is planning on staying. Think I will, too. #FTWstayingWonder",50,FleetCouchMark
though accurate am not offended or hurt any longer haha xo,48,Douglas_Ransom29
Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,47,SmartKCandy
